Time,Total
0.031,-51887
0.047,-30042
0.063,-51887
0.094,-30042
0.125,-51887
0.156,-51887
0.203,-30042
0.219,-8196
0.266,-51887
0.297,-8196
0.328,-30042
0.344,-51887
0.375,-51887
0.406,13649
0.438,-51887
0.469,-51887
0.5,-51887
0.531,-51887
0.563,-51887
0.578,-8196
0.609,-8197
0.641,-51887
0.656,-8197
0.688,-51887
0.75,-30042
0.781,-30042
0.797,-8197
0.813,-8197
0.844,-51887
0.891,-30042
0.922,-30042
0.938,13649
0.969,-51887
1.016,-51887
1.047,-51887
1.063,-30042
1.094,-8196
1.141,-30042
1.172,-30042
1.188,-51887
1.219,-30042
1.266,-51887
1.297,-30042
1.328,-51887
1.375,-8197
1.406,-30042
1.438,-8197
1.469,-51887
1.5,-51887
1.531,-51887
1.578,-51887
1.609,35494
1.625,35494
1.641,-30042
1.656,-51887
1.688,-51887
1.703,-8196
1.719,-51887
1.734,-8197
1.766,-51887
1.813,-51887
1.844,35494
1.891,-8197
1.922,-30042
1.953,-51887
1.984,-51887
2.016,-51887
2.063,-8197
2.109,-51887
2.141,-51887
2.188,-51887
2.219,-51887
2.234,-51887
2.25,-30042
2.266,-51887
2.297,-51887
2.313,35494
2.344,-30042
2.391,-51887
2.422,-51887
2.438,-51887
2.469,35494
2.5,-30042
2.547,-51887
2.578,-51887
2.594,-51887
2.609,-30042
2.656,-51887
2.672,-51887
2.688,-30042
2.703,13648
2.719,-8196
2.781,-30042
2.797,-8196
2.813,-51887
2.844,-8197
2.891,13649
2.922,-30042
2.938,-51887
2.953,-51887
2.984,13649
3.031,-51887
3.063,13649
3.094,-51887
3.141,-51887
3.172,-51887
3.203,-8197
3.219,-8197
3.234,-30042
3.266,-30042
3.297,-30042
3.328,-51887
3.375,-30042
3.406,13649
3.438,-30042
3.469,-51887
3.484,-8196
3.5,13648
3.547,-8196
3.578,-30042
3.609,-51887
3.641,35494
3.656,-51887
3.672,-51887
3.703,-51887
3.734,-51887
3.766,-51887
3.797,13649
3.828,-51887
3.859,13649
3.906,-51887
3.938,-51887
3.969,-8196
4.0,-30042
4.016,-30042
4.047,-51887
4.063,-8197
4.094,-51887
4.141,-51887
4.172,-51887
4.203,13649
4.234,-30042
4.266,-51887
4.281,-8197
4.297,-30042
4.344,-30042
4.359,-8196
4.375,-30042
4.422,-51887
4.453,-51887
4.484,-30042
4.5,-51887
4.516,-51887
4.563,-51887
4.594,-51887
4.641,-30042
4.656,-30042
4.688,-30042
4.719,-8196
4.766,-30042
4.781,-30042
4.797,-30042
4.828,-30042
4.859,-8197
4.875,-30042
4.906,-51887
4.938,-30042
4.969,-30042
5.016,-30042
5.047,-30042
5.078,-30042
5.109,-8196
5.125,-30042
5.141,-30042
5.188,-8196
5.219,-8197
5.25,-8197
5.281,-30042
5.313,13649
5.344,-51887
5.391,-51887
5.406,-51887
5.422,-51887
5.453,-8197
5.5,-51887
5.531,-8196
5.563,35494
5.594,-30042
5.625,-51887
5.656,-51887
5.672,-51887
5.688,-30042
5.719,-51887
5.734,-51887
5.75,-51887
5.766,13648
5.797,-51887
5.828,-51887
5.859,-51887
5.906,-51887
5.938,-30042
5.969,-8196
6.016,-8197
6.063,35494
6.078,-30042
6.109,-51887
6.141,-8197
6.156,-30042
6.172,13648
6.219,-51887
6.25,-30042
6.281,35494
6.313,-51887
6.344,-8197
6.391,-51887
6.422,-51887
6.438,-30042
6.453,-51887
6.484,-51887
6.531,-30042
6.578,-51887
6.625,-8196
6.656,-30042
6.688,-30042
6.719,-51887
6.734,-30042
6.75,-51887
6.781,-51887
6.813,-8196
6.828,-8196
6.859,-30042
6.906,-30042
6.938,-30042
6.984,-51887
7.016,-51887
7.078,-51887
7.094,-51887
7.109,13649
7.125,-8197
7.172,-8196
7.203,-8196
7.234,-51887
7.25,-30042
7.266,-51887
7.281,-51887
7.313,-51887
7.359,-8197
7.391,-51887
7.406,57340
7.438,-51887
7.469,-8197
7.516,-8197
7.547,-51887
7.563,-51887
7.578,-51887
7.625,-30042
7.672,-30042
7.688,-30042
7.703,-30042
7.734,-30042
7.766,-30042
7.781,-51887
7.813,13649
7.844,-30042
7.891,-8197
7.938,-8197
7.969,-30042
8.016,-30042
8.047,-8196
8.094,-8197
8.109,-51887
8.141,-51887
8.172,-30042
8.203,57339
8.25,-30042
8.297,-8197
8.328,-30042
8.375,-8196
8.406,-51887
8.422,-51887
8.438,-51887
8.469,-8196
8.516,-30042
8.563,-51887
8.594,-30042
8.641,-8196
8.656,-51887
8.672,-8197
8.688,-8196
8.703,-51887
8.734,35494
8.75,-30042
8.766,-51887
8.781,-30042
8.844,13649
8.891,13649
8.922,-51887
8.938,-8196
8.953,-8197
8.984,-51887
9.031,-51887
9.094,-30042
9.125,-51887
9.156,-30042
9.203,-30042
9.234,-8197
9.25,-51887
9.266,-51887
9.328,-51887
9.375,-8197
9.406,-8197
9.453,-8197
9.484,-51887
9.531,-8196
9.563,-30042
9.578,-30042
9.594,-51887
9.641,-8197
9.672,-8196
9.688,-51887
9.719,-30042
9.734,-51887
9.766,-30042
9.813,-8196
9.844,-51887
9.891,-30042
9.906,-30042
9.922,-51887
9.938,-30042
9.984,-51887
10.031,-30042
10.078,-51887
10.109,-8196
10.141,-30042
10.172,-30042
10.203,-30042
10.25,-8197
10.266,-8197
10.313,-51887
10.344,-30042
10.391,-30042
10.422,-30042
10.453,-8196
10.484,-30042
10.5,-8197
10.531,13649
10.563,-30042
10.594,-30042
10.609,-51887
10.641,13649
10.672,-30042
10.703,-30042
10.734,-51887
10.766,-30042
10.797,-30042
10.828,-51887
10.844,-8196
10.875,-51887
10.906,-30042
10.938,-51887
10.969,-51887
11.0,-30042
11.031,35494
11.047,-51887
11.078,-30042
11.125,-30042
11.141,13648
11.156,-51887
11.188,-30042
11.203,-30042
11.219,-51887
11.234,-51887
11.266,-30042
11.313,-51887
11.344,-30042
11.359,79185
11.391,-8197
11.422,-51887
11.453,-51887
11.484,-30042
11.516,-51887
11.547,-8197
11.578,-51887
11.594,-30042
11.625,13649
11.656,-30042
11.688,-51887
11.719,-30042
11.75,-30042
11.781,-51887
11.797,-8197
11.828,-30042
11.859,-51887
11.891,-51887
11.922,-30042
11.953,-8197
11.984,122875
12.016,-51887
12.031,-51887
12.063,-51887
12.094,-51887
12.141,-51887
12.156,-30042
12.172,-30042
12.188,-30042
12.219,-51887
12.234,-30042
12.266,-51887
12.297,-51887
12.328,-30042
12.359,35494
12.391,-30042
12.422,-30042
12.453,-51887
12.469,-51887
12.5,-30042
12.531,-8196
12.563,-51887
12.594,-30042
12.625,-8197
12.656,35494
12.688,13649
12.703,-30042
12.734,-30042
12.766,-51887
12.797,13648
12.828,-51887
12.859,-51887
12.891,-30042
12.906,-51887
12.938,-30042
12.969,-30042
13.0,-30042
13.031,-51887
13.063,-30042
13.094,-51887
13.109,-8196
13.156,-51887
13.172,-51887
13.203,-8196
13.219,13648
13.234,-51887
13.266,-30042
13.297,-51887
13.328,-30042
13.359,-30042
13.391,-30042
13.422,-30042
13.453,-51887
13.469,-30042
13.5,-51887
13.531,-30042
13.563,-51887
13.594,35494
13.625,-51887
13.656,-8197
13.688,-8197
13.703,-30042
13.734,-8196
13.766,-8197
13.797,-30042
13.828,-30042
13.859,35494
13.891,13649
13.906,-30042
13.938,-8197
13.969,-51887
14.0,-51887
14.031,-30042
14.063,-51887
14.078,-30042
14.109,35494
14.125,-8197
14.156,-30042
14.188,35494
14.219,-51887
14.25,13649
14.266,-8196
14.313,-51887
14.328,-8197
14.359,-30042
14.375,-8196
14.422,-51887
14.453,-51887
14.469,35494
14.5,-51887
14.516,-51887
14.563,-30042
14.594,-30042
14.625,-51887
14.641,-30042
14.672,-51887
14.703,-51887
14.719,-51887
14.75,-51887
14.766,-51887
14.781,-51887
14.813,-30042
14.828,-51887
14.859,-30042
14.906,-30042
14.922,-51887
14.953,-30042
14.969,-51887
15.016,13648
15.047,-30042
15.063,-30042
15.078,35494
15.125,-30042
15.172,-30042
15.203,-8197
15.234,-30042
15.281,-8196
15.297,-8197
15.344,13649
15.375,13649
15.422,-30042
15.438,-8197
15.469,-30042
15.5,13649
15.516,-51887
15.563,-30042
15.578,-8197
15.609,-8197
15.641,-8196
15.656,-30042
15.672,-51887
15.688,-51887
15.703,-51887
15.75,13649
15.766,-30042
15.813,-30042
15.828,-51887
15.859,13648
15.906,13648
15.922,-51887
15.953,-30042
15.969,13649
16.016,-51887
16.047,-51887
16.063,-51887
16.094,-30042
16.109,-30042
16.172,13649
16.203,-8196
16.234,-30042
16.281,-51887
16.297,-30042
16.328,-30042
16.344,-30042
16.375,-51887
16.422,-8197
16.438,-51887
16.469,-51887
16.5,-8197
16.516,-8197
16.563,-51887
16.578,-51887
16.609,-30042
16.625,-30042
16.672,-51887
16.703,-30042
16.719,-8197
16.75,-30042
16.766,-51887
16.781,-51887
16.813,-51887
16.828,-51887
16.844,-51887
16.891,-51887
16.922,-51887
16.938,-51887
16.969,-51887
16.984,-30042
17.031,-8196
17.063,-30042
17.078,35494
17.109,-30042
17.156,-30042
17.203,-51887
17.234,-8196
17.266,-51887
17.281,-30042
17.313,-51887
17.328,-30042
17.344,-30042
17.391,-30042
17.422,-51887
17.438,-30042
17.453,-30042
17.5,-8196
17.531,-30042
17.563,-30042
17.578,-51887
17.625,13649
17.656,-51887
17.672,-51887
17.688,-8196
17.719,-51887
17.734,57339
