Time,77,78,79
0.031,21845,0,0
0.047,0,21845,0
0.062,0,43690,0
0.094,65536,0,0
0.109,0,0,21845
0.125,0,65536,0
0.172,0,43690,0
0.187,21845,0,0
0.219,0,21845,0
0.234,0,21845,0
0.265,43690,0,0
0.297,0,43690,0
0.328,43690,0,0
0.359,21845,21845,0
0.375,0,0,21845
0.406,0,21845,0
0.437,43690,21845,0
0.469,0,21845,0
0.5,0,21845,0
0.531,0,21845,0
0.562,21845,0,21845
0.594,0,21845,0
0.625,21845,0,0
0.656,0,21845,0
0.687,43690,0,0
0.719,0,21845,0
0.734,21845,0,0
0.75,43690,0,0
0.844,0,0,21845
0.859,0,21845,0
0.875,21845,0,0
0.89,21845,0,0
0.922,21845,0,0
0.953,0,0,43690
0.984,0,21845,0
1.015,0,21845,0
1.047,0,21845,0
1.078,21845,21845,0
1.109,0,21845,0
1.14,21845,0,0
1.172,0,21845,0
1.203,21845,0,0
1.234,0,21845,0
1.265,21845,0,0
1.297,0,0,43690
1.328,0,21845,0
1.375,21845,21845,0
1.39,21845,0,21845
1.422,43690,0,0
1.453,65536,0,0
1.484,0,21845,0
1.531,0,43690,0
1.562,0,21845,0
1.609,0,21845,0
1.656,21845,0,0
1.687,0,43690,0
1.734,21845,0,21845
1.781,21845,0,21845
1.812,21845,0,0
1.844,0,21845,0
1.859,21845,0,0
1.875,0,21845,0
1.922,0,0,21845
1.953,0,65536,0
2.0,0,0,21845
2.047,109226,0,0
2.078,21845,0,0
2.125,0,0,21845
2.172,0,21845,0
2.219,21845,0,0
2.265,21845,0,0
2.312,0,0,21845
2.344,0,21845,0
2.406,0,0,21845
2.437,21845,0,43690
2.484,43690,21845,0
2.5,0,43690,0
2.531,0,21845,0
2.547,21845,0,0
2.594,43690,21845,0
2.64,21845,43690,0
2.672,21845,0,0
2.687,0,21845,0
2.719,0,43690,0
2.75,0,21845,0
2.797,21845,0,0
2.828,0,21845,0
2.875,65536,21845,0
2.89,21845,0,0
2.937,0,21845,0
2.953,0,43690,0
2.984,21845,21845,0
3.015,0,21845,0
3.031,21845,0,0
3.078,0,0,21845
3.109,21845,0,0
3.125,0,21845,0
3.156,21845,0,0
3.203,0,87381,0
3.234,43690,0,0
3.265,21845,0,0
3.281,0,21845,0
3.328,0,21845,0
3.375,21845,0,21845
3.437,0,21845,0
3.484,0,21845,0
3.5,0,21845,0
3.562,0,87381,21845
3.594,21845,0,0
3.625,0,21845,0
3.64,0,21845,0
3.672,43690,21845,0
3.687,0,0,21845
3.719,0,21845,0
3.75,21845,0,0
3.797,0,21845,0
3.812,21845,0,0
3.844,21845,0,0
3.859,0,21845,0
3.89,0,43690,0
3.922,0,21845,0
3.953,43690,0,0
3.984,21845,0,0
4.015,0,0,21845
4.047,21845,0,0
4.078,0,21845,21845
4.109,21845,0,0
4.14,0,43690,0
4.172,21845,0,0
4.203,0,43690,0
4.219,21845,0,43690
4.265,0,21845,0
4.297,0,21845,0
4.328,0,43690,21845
4.344,0,43690,0
4.375,0,43690,0
4.406,21845,0,0
4.453,65536,21845,0
4.5,21845,21845,0
4.531,43690,0,0
4.547,0,21845,0
4.594,0,21845,0
4.625,21845,0,0
4.64,21845,0,0
4.672,0,43690,0
4.719,21845,21845,0
4.734,21845,0,0
4.765,21845,0,0
4.781,43690,0,0
4.812,43690,21845,0
4.844,0,21845,0
4.859,0,43690,0
4.875,43690,0,0
4.922,0,0,21845
4.937,0,0,21845
4.984,0,21845,0
5.0,0,43690,0
5.015,0,0,21845
5.062,43690,0,0
5.078,0,21845,0
5.109,0,21845,0
5.14,21845,0,0
5.172,0,0,43690
5.203,0,21845,0
5.234,0,0,43690
5.265,21845,0,0
5.297,0,0,21845
5.328,0,21845,0
5.375,0,21845,21845
5.406,0,43690,0
5.437,21845,21845,0
5.484,21845,0,21845
5.5,0,0,43690
5.531,0,0,21845
5.562,0,43690,0
5.609,0,43690,0
5.64,21845,21845,0
5.672,0,21845,0
5.703,43690,0,0
5.734,21845,0,0
5.765,21845,0,0
5.797,0,21845,0
5.812,21845,21845,0
5.844,43690,0,0
5.859,21845,0,0
