Cumulative Sum,6089176948.98
Time,Total
0.031,-117863.38893
0.047,-117758.800426
0.062,-117821.055987
0.094,-118174.338615
0.109,-118275.346148
0.125,-118274.523653
0.172,-118566.810432
0.187,-118879.494896
0.219,-119063.732376
0.234,-119392.631694
0.265,-119618.601871
0.297,-119889.444102
0.328,-120201.649275
0.359,-120675.792922
0.375,-121133.912181
0.406,-121450.946506
0.437,-122048.249457
0.469,-122501.769736
0.5,-122685.396251
0.531,-123015.87398
0.562,-123363.252903
0.594,-123722.288256
0.625,-124212.55145
0.656,-124806.892638
0.687,-125109.366086
0.719,-125515.952433
0.734,-125875.971459
0.75,-125941.324256
0.844,-125980.464778
0.859,-125986.912289
0.875,-125927.941138
0.89,-126073.369402
0.922,-126026.213924
0.953,-126061.290309
0.984,-125934.021427
1.015,-125796.547114
1.047,-125748.529186
1.078,-125370.236354
1.109,-124963.272036
1.14,-124678.909469
1.172,-124522.016816
1.203,-124226.637762
1.234,-123949.83628
1.265,-123697.979045
1.297,-123299.730646
1.328,-123032.647515
1.375,-122200.379772
1.39,-122017.777677
1.422,-121719.759222
1.453,-121460.405648
1.484,-121242.253106
1.531,-121067.3536
1.562,-120937.303297
1.609,-120977.577028
1.656,-120917.370885
1.687,-120605.85617
1.734,-120283.645691
1.781,-120217.571345
1.812,-120157.879511
1.844,-120130.155411
1.859,-119831.406365
1.875,-119501.79789
1.922,-119435.112237
1.953,-119382.594008
2.0,-119318.045622
2.047,-119242.548173
2.078,-119308.734883
2.125,-119371.534608
2.172,-118984.098871
2.219,-119091.477187
2.265,-118931.01843
2.312,-118780.407576
2.344,-118490.99126
2.406,-118363.346319
2.437,-118275.597821
2.484,-118354.588087
2.5,-118455.551785
2.531,-118584.377398
2.547,-118622.069652
2.594,-118267.321674
2.64,-118183.48757
2.672,-118268.159526
2.687,-118395.521933
2.719,-118812.309764
2.75,-118822.08661
2.797,-119492.6727
2.828,-119610.062399
2.875,-119774.176131
2.89,-119376.458758
2.937,-119498.36785
2.953,-119638.299614
2.984,-119792.614425
3.015,-119656.481213
3.031,-119770.97886
3.078,-120135.10382
3.109,-120454.350324
3.125,-120612.576624
3.156,-120641.325434
3.203,-120693.133641
3.234,-121018.600088
3.265,-121174.407604
3.281,-121192.873438
3.328,-121102.034514
3.375,-121298.621311
3.437,-121387.252828
3.484,-121518.861117
3.5,-121541.76497
3.562,-122099.074693
3.594,-122098.679109
3.625,-122261.973367
3.64,-122434.047464
3.672,-122432.705657
3.687,-122551.183129
3.719,-122686.766395
3.75,-122532.597074
3.797,-122476.346552
3.812,-122386.276576
3.844,-122407.049027
3.859,-122332.90142
3.89,-122136.81596
3.922,-121748.554645
3.953,-121468.315631
3.984,-121175.421815
4.015,-120999.516025
4.047,-120675.907002
4.078,-120212.589064
4.109,-119738.89279
4.14,-119908.577853
4.172,-119520.516913
4.203,-119036.466807
4.219,-118433.782187
4.265,-118386.652656
4.297,-117957.989242
4.328,-117574.445066
4.344,-117385.912857
4.375,-117269.502357
4.406,-117225.478336
4.453,-117101.980304
4.5,-117168.639315
4.531,-117271.649846
4.547,-117407.450631
4.594,-117722.914204
4.625,-117942.031745
4.64,-118060.11433
4.672,-118343.958337
4.719,-118637.966849
4.734,-118937.763563
4.765,-119390.263823
4.781,-119720.204374
4.812,-120048.461875
4.844,-120469.365577
4.859,-120583.782337
4.875,-120686.585906
4.922,-121019.373177
4.937,-121307.623627
4.984,-121428.024825
5.0,-121378.015336
5.015,-121675.537913
5.062,-121775.756509
5.078,-121707.827927
5.109,-121621.98458
5.14,-121544.995036
5.172,-121477.960381
5.203,-121272.000591
5.234,-121174.913247
5.265,-121190.317494
5.297,-120775.36584
5.328,-120477.229324
5.375,-120447.344524
5.406,-120542.765341
5.437,-120224.447524
5.484,-120193.713068
5.5,-120181.947706
5.531,-120070.939629
5.562,-120013.336059
5.609,-120010.162796
5.64,-120186.160835
5.672,-120269.577473
5.703,-120383.720669
5.734,-120526.777214
5.765,-120722.911773
5.797,-120817.967769
5.812,-121053.045407
5.844,-121148.523608
5.859,-121069.006625
5.875,-121227.917719
5.922,-121398.00219
5.953,-121574.376257
5.984,-121726.135019
6.015,-121974.124892
6.047,-122195.183551
6.078,-122089.250902
6.125,-122051.085341
6.14,-121982.88422
6.172,-122036.58054
6.203,-121916.030215
6.25,-121899.603454
6.281,-121746.337288
6.312,-121736.10863
6.344,-121300.340704
6.375,-121138.16339
6.406,-121005.994924
6.437,-121033.074692
6.484,-121076.713238
6.515,-121020.172169
6.547,-120963.76159
6.578,-121033.171879
6.609,-121010.288732
6.64,-120893.885785
6.672,-120926.494953
6.703,-120980.611766
6.75,-121079.094416
6.781,-121217.778447
6.812,-121241.3911
6.844,-121115.137497
6.875,-121253.618369
6.906,-121253.492815
6.922,-121356.509979
6.984,-121436.01988
7.0,-121215.139624
7.031,-121360.543732
7.062,-121325.620474
7.094,-121386.800325
7.125,-121371.98281
7.156,-121011.865602
7.187,-120785.00536
7.219,-120570.374264
7.25,-120496.370907
7.281,-120145.146794
7.312,-119944.26892
7.359,-120023.306115
7.39,-119666.662862
7.422,-119301.468958
7.453,-119105.599007
7.5,-119082.540318
7.515,-118963.750727
7.547,-118751.521503
7.578,-118718.902325
7.625,-118839.936238
7.656,-118842.922903
7.687,-118904.494141
7.719,-119022.833468
7.75,-119195.580351
7.781,-119419.916264
7.812,-119790.179946
7.844,-120031.05137
7.89,-120315.958856
7.906,-120613.612716
7.953,-120892.474202
7.969,-121023.119216
8.015,-121298.572912
8.047,-121589.593883
